name,capacity,address,start_up_date,region,district,operator_name,ICO,operator_address,operator license,operator_region,operator_district,cadastre_area,cadastre_code,cadastre_municipal,cadastre_demarcation
,,,,,,,,,,,,Modřice,697931,Modřice,37
,,,,,,,,,,,,Vrabcov,759686,Sušice,St. 28
,,,,,,,,,,,,Všechovice,787086,Všechovice,st. 58
,,,,,,,,,,,,Hrabůvka,714585,Ostrava,St. 906
,,,,,,,,,,,,Koryto,792144,Zbytiny,p.č.  112
,,,,,,,,,,,,Klepačov,666157,Blansko,"par. č. 566, par. č. 567"
,,,,,,,,,,,,Otaslavice,716448,Otaslavice,891
,,,,,,,,,,,,Vilantice,781878,Vilantice,p.č. st. 177
,,,,,,,,,,,,Štěkeň,763292,Štěkeň,St. 475
,,,,,,,,,,,,Kopřivnice,669393,Kopřivnice,1990/1
,,,,,,,,,,,,Újezd nad Lesy,773778,Praha,par. č. 254/2
,,,,,,,,,,,,Židlochovice,796701,Židlochovice,563/4
,,,,,,,,,,,,Červenka,621030,Červenka,1118/261
,,,,,,,,,,,,,,,
,,,,,,,,,,,,Jirkov,660761,,p.č. 969
,,,,,,,,,,,,Panoší Újezd,717592,Panoší Újezd,p.č. st. 82
,,,,,,,,,,,,Štěpánkovice,763390,Štěpánkovice,p.č. 1923/4
,,,,,,,,,,,,České Budějovice 3,622052,České Budějovice,1641/2
,,,,,,,,,,,,Šeberov,762130,Praha,571/241
,,,,,,,,,,,,Bratronice u Kladna,609617,Bratronice,"St. 526/1, 2"
,,,,,,,,,,,,Chlumčany u Přeštic,651737,Chlumčany,"St. 43/2,  44"
,,,,,,,,,,,,Červený Hrádek u Jirkova,660876,Jirkov,par. č. 141/189
,,,,,,,,,,,,Žirovnice,797154,Žirovnice,St. 867
,,,,,,,,,,,,Smědčice,616354,Břasy,St. 26
,,,,,,,,,,,,Rudolfov u Českých Budějovic,743470,Rudolfov,p.č. 337/5
,,,,,,,,,,,,Rohatec,740381,Rohatec,583/186
,,,,,,,,,,,,Branka u Opavy,609382,Branka u Opavy,parc. č. 116/6
,,,,,,,,,,,,,,,
,,,,,,,,,,,,Javorník-ves,657956,Javorník,826/2
,,,,,,,,,,,,Palkovice,717452,Palkovice,207/4
,,,,,,,,,,,,Studená,758191,Studená,par. č. st. 465
,,,,,,,,,,,,Jílové u Prahy,660094,Jílové u Prahy,st. 1927
,,,,,,,,,,,,Plzeň,721981,Plzeň,parc. č. 1523
,,,,,,,,,,,,Bolatice,606987,Bolatice,276/2
,,,,,,,,,,,,Luby,665975,Klatovy,"p.č. 485,486"
,,,,,,,,,,,,Třebíč,769738,Třebíč,St. 2234
,,,,,,,,,,,,Kozmice,671878,Kozmice,136/4
,,,,,,,,,,,,Oplot,626805,Oplot,St. 98
,,,,,,,,,,,,Rokycany,740691,Rokycany,st. 866
,,,,,,,,,,,,Humpolec,649325,Humpolec,St. 3184
,,,,,,,,,,,,Stříbrnice u Uherského Hradiště,757730,Stříbrnice,St. 440
,,,,,,,,,,,,Štěpánovice u Jaroměřic nad Rokytnou,787515,Výčapy,St. 27
,,,,,,,,,,,,Louky nad Dřevnicí,636118,Zlín,par.č. 562/1 - 562/7
,,,,,,,,,,,,Bolevec,722120,Plzeň,par. č. 1055/3
,,,,,,,,,,,,Olšová Vrata,663654,,p.č. 326/5
,,,,,,,,,,,,Vesec u Liberce,780472,Liberec,1017/102
,,,,,,,,,,,,Klatovy,665797,Klatovy,St. 3715
,,,,,,,,,,,,Běchovice,601527,Praha,1332
,,,,,,,,,,,,Zábrdí u Lažišť,679569,Zábrdí,St. 39/1
,,,,,,,,,,,,Kobeřice ve Slezsku,667340,Kobeřice,1464/3
,,,,,,,,,,,,Podklášteří,769916,Třebíč,st.p.č. 1229
,,,,,,,,,,,,Chotětov,653233,Chotětov,St. 607
,,,,,,,,,,,,Trnitá,610950,Brno,"P.č. 549/2, 549/5"
,,,,,,,,,,,,Nová Ves u Nelahozevsi,705390,Nová Ves,St. 273
,,,,,,,,,,,,Milotice u Kyjova,695157,Milotice,St. 278/2
,,,,,,,,,,,,Podomí,673196,Podomí,553
,,,,,,,,,,,,Strážek,756521,Strážek,St. 240
,,,,,,,,,,,,Nezdice nad Úhlavou,607959,Nezdice,"St. 5/4, St. 5/5"
,,,,,,,,,,,,Minice u Kralup nad Vltavou,672751,Kralupy nad Vltavou,St. 198
,,,,,,,,,,,,Třebíč,769738,Třebíč,St. 3686/1
,,,,,,,,,,,,Řeporyje,745251,Praha,parc. č. 1443/1
,,,,,,,,,,,,Polánka u Nepomuka,725056,Polánka,St. 36
,,,,,,,,,,,,Štěrboholy,732516,Praha,235/2
,,,,,,,,,,,,Heřmanův Městec,638731,Heřmanův Městec,St. 594
,,,,,,,,,,,,Most II,699594,Most,parc.č. 4971/32
,,,,,,,,,,,,Černice,620106,Plzeň,p.č. 1455/46
,,,,,,,,,,,,Podklášteří,769916,Třebíč,par. č. st. 1626
,,,,,,,,,,,,Prostřední Suchá,637742,Havířov,1149/2
,,,,,,,,,,,,Kladné,662038,Kájov,parc. č. 35/2
,,,,,,,,,,,,Veliny,778052,Veliny,St. 265
,,,,,,,,,,,,Nivnice,704679,Nivnice,1975/3
,,,,,,,,,,,,Třebětín u Letovic,680745,Třebětín u Letovic,par.č. 110/16
,,,,,,,,,,,,Vícov,781495,Vícov,St. 67
,,,,,,,,,,,,Měnín,693090,Měnín,p.č. 1858/14
,,,,,,,,,,,,Holohlavy,641294,Holohlavy,St. 464
,,,,,,,,,,,,Předslav,734446,Předslav,St. 188
,,,,,,,,,,,,Komárov u Soběslavi,668664,Komárov,St. 4
,,,,,,,,,,,,Chlumec nad Cidlinou,651800,Chlumec nad Cidlinou,St. 1069
,,,,,,,,,,,,Nový Bydžov,707163,Nový Bydžov,St. 1979
,,,,,,,,,,,,Rosnice u Všestar,787418,Všestary,p.č. st. 19
,,,,,,,,,,,,Slavkov u Brna,750301,Slavkov u Brna,"p.č.2623/1,2624,2625,2626,"
,,,,,,,,,,,,Vysoké Mýto,788228,Vysoké Mýto,Pč. 2946/85
,,,,,,,,,,,,Myslkovice,700690,Myslkovice,St. 187
,,,,,,,,,,,,Město Žďár,795232,Žďár nad Sázavou,4609
,,,,,,,,,,,,České Budějovice 5,622281,České Budějovice,parc.č. 2520/174
,,,,,,,,,,,,Libochovice,683124,Libochovice,St. 289
,,,,,,,,,,,,Domažlice,630853,Domažlice,St. 961
,,,,,,,,,,,,Poděbrady,723495,Poděbrady,St. 3050/1
,,,,,,,,,,,,Nový Šaldorf,707988,Nový Šaldorf-Sedlešovice,793
,,,,,,,,,,,,Starý Vestec,755231,Starý Vestec,St. 56
,,,,,,,,,,,,Konárovice,668958,Konárovice,St. 510
,,,,,,,,,,,,Polička,725358,Polička,St. 3493/2
,,,,,,,,,,,,Vyklice,787621,Chabařovice,"par.č. 261/1,262,333/1,333/3"
,,,,,,,,,,,,Řípec,745766,Řípec,St. 273
,,,,,,,,,,,,Lobeček,672866,Kralupy nad Vltavou,St. 2412
,,,,,,,,,,,,Telčice,765694,Chvaletice,par.č. st.1234
,,,,,,,,,,,,Osíčko,713074,Osíčko,St. 187
,,,,,,,,,,,,Záluží,671118,Kotovice,p.č. 11/1
,,,,,,,,,,,,Třemošná,770698,Třemošná,977
,,,,,,,,,,,,Modřice,697931,Modřice,st.p.č. 994/18
,,,,,,,,,,,,Chrastava I,653845,Chrastava,St. 151
,,,,,,,,,,,,Topolná,767778,Topolná,609/64
,,,,,,,,,,,,Leštinka u Světlé nad Sázavou,700185,Světlá nad Sázavou,St. 39
,,,,,,,,,,,,Kyjovice ve Slezsku,678562,Kyjovice,1046/14
,,,,,,,,,,,,Úholičky,773239,Úholičky,St. 394
,,,,,,,,,,,,,,,
,,,,,,,,,,,,Lubojaty,688096,Bílovec,St. 200
,,,,,,,,,,,,Zruč nad Sázavou,793655,Zruč nad Sázavou,2286
,,,,,,,,,,,,Rožnov pod Radhoštěm,742937,Rožnov pod Radhoštěm,St. 2098
,,,,,,,,,,,,Krásné nad Svratkou,673714,Krásné,St. 125/1
,,,,,,,,,,,,Nové Sedlo u Lokte,706680,Nové Sedlo,1133/25
,,,,,,,,,,,,Holubov,641472,Holubov,857/62
,,,,,,,,,,,,Bukovany u Týnce nad Sázavou,615820,Bukovany,St. 463
,,,,,,,,,,,,Řásná,744760,Řásná,St. 38/2
,,,,,,,,,,,,Horní Růžodol,682250,Liberec,486/1
,,,,,,,,,,,,Karlovice ve Slezsku,663387,Karlovice,St. 14/1
,,,,,,,,,,,,Hejná,638161,Hejná,St. 117
,,,,,,,,,,,,Zábřeh u Hlučína,789411,Dolní Benešov,par. č. 586/4
,,,,,,,,,,,,Holešov,640972,Holešov,1321
,,,,,,,,,,,,Dobronice u Chýnova,627399,,p.č. 22
,,,,,,,,,,,,Velký Bor u Horažďovic,779539,Velký Bor,p.č. 48/2
,,,,,,,,,,,,Stránice,610330,Brno,par. č. 1228/3
,,,,,,,,,,,,Krásný Dvůr,673862,,p.č. 267
,,,,,,,,,,,,Dobřejovice,627640,Dobřejovice,St. 346
,,,,,,,,,,,,Javorník u Svitav,657867,Javorník,St. 170
,,,,,,,,,,,,Nový Šaldorf,707988,Nový Šaldorf-Sedlešovice,parc. č. 163
,,,,,,,,,,,,Horšice,644838,Horšice,St. 85
,,,,,,,,,,,,Všeruby u Kdyně,787345,Všeruby,St. 204
